# Mongolian Wordnet (MonWN)	mon	https://github.com/kbatsuren/monwn	CC BY 4.0
13781670-n	mon:lemma	хувийн харилцаа
13781670-n	mon:lemma	хувийн харилцаа холбоо
13781670-n	mon:def 0	хүмүүс хоорондын харилцаа
00022903-n	mon:lemma	эд
00022903-n	mon:def 0	эд зүйлийн нэг хэсэг
00023271-n	mon:lemma	танин мэдэхүй
00023271-n	mon:def 0	сэтгэн бодож, сурч боловсрох болон танин мэдэхүйн үр дүн
00024264-n	mon:lemma	шинж чанар
00024264-n	mon:def 0	нэгжийн хийсвэр төлөв байдал
00024720-n	mon:lemma	төр
00024720-n	mon:def 0	Нийгэмд удирдлага, нийтлэг засаглалыг хэрэгжүүлдэг улс төрийн байгуулал
13783038-n	mon:lemma	логик харилцаа
13783038-n	mon:def 0	Санал хоорондыг харилцаа
01186428-v	mon:lemma	сүү ялгаруул
01186428-v	mon:lemma	гарга
00026192-n	mon:lemma	мэдрэмж
00026192-n	mon:def 0	сэтгэл хөдлөлийн төлөв байдал
13782769-n	mon:lemma	холбоо харилцаа
13782769-n	mon:def 0	Харилцан болон бие даасан харилцааны үр дүн
13783421-n	mon:lemma	дураараа
00027167-n	mon:lemma	байрлал
00027167-n	mon:def 0	орон зай дахь цэг эсвэл хэмжээ
00027807-n	mon:lemma	дүрс
00027807-n	mon:lemma	хэлбэр
00027807-n	mon:def 0	орон зайн ялгаатай байдал, дүр төлөв
13783259-n	mon:lemma	зөрчилдөх
06187529-n	mon:lemma	утилитаризм
00028270-n	mon:lemma	цаг хугацаа
00028270-n	mon:def 0	өнгөрсөн, одоо, ирээдүй цагийн тасралтгүй байдал
13783816-n	mon:lemma	функц
13783816-n	mon:lemma	математикийн функц
13783581-n	mon:lemma	математикийн холбоо
13783581-n	mon:def 0	математик илэрхийлэл хоорондоох ямар нэгэн харилцаа
00028651-n	mon:lemma	зай
00028651-n	mon:lemma	цаглашгүй
00028651-n	mon:def 0	бүх зүйл оршин байдаг хязгааргүй орон талбай
01187740-v	mon:lemma	тэжээж чадахгүй байх
01187740-v	mon:lemma	өлсгөх
01187740-v	mon:lemma	хооллож чадахгүй байх
00029378-n	mon:lemma	хэрэг
01188144-v	mon:lemma	өлсөх
00029677-n	mon:lemma	зам
00029677-n	mon:lemma	явц
01187948-v	mon:lemma	хүнийг
01187948-v	mon:lemma	юмыг өлгөж ичээнээс нь гаргаж ир
00030358-n	mon:lemma	үйлдэл
00030358-n	mon:def 0	Ямар нэг учир шалтгааны улмаас хүмүүсийн хийсэн ямар нэг зүйл
01188485-v	mon:lemma	хүнд тачаах
01188485-v	mon:lemma	юманд шунах
